Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-07-27,9846.94,10235.0,9299.0,9481.37,9614.10207519,92385636.332203,9609.3879188793
2019-07-26,9886.08,9897.46,9650.0,9846.94,5570.10914746,54443100.836409,9774.1533235907
2019-07-25,9781.52,10187.0,9734.19,9883.96,6377.95751785,63834998.119443,10008.689763265
2019-07-24,9841.42,9911.5,9514.96,9763.67,9433.34520017,91609723.743955,9711.2659189345
2019-07-23,10315.87,10327.33,9801.88,9847.02,9040.84882621,90667673.973497,10028.668293916
2019-07-22,10605.03,10686.89,10052.25,10328.83,9371.30644231,97152157.16193,10366.981141851
2019-07-21,10757.15,10839.09,10325.0,10600.24,5628.16176664,59511306.03947,10573.844268694
2019-07-20,10533.71,11120.0,10359.17,10750.11,9964.67388282,106763959.49013,10714.245217217
2019-07-19,10638.44,10776.99,10102.58,10535.43,13787.45646718,143864052.15268,10434.415694812
2019-07-18,9712.15,10797.0,9280.33,10648.6,18289.54217585,184684478.59116,10097.818568418
2019-07-17,9427.45,9993.0,9049.54,9699.35,16992.78525932,161878855.06382,9526.3285325775
2019-07-16,10848.27,11042.11,9366.0,9412.81,20761.02748001,207176966.82514,9979.1287798554
2019-07-15,10191.87,11080.37,9855.0,10850.0,16048.02718406,166452851.72252,10372.169102994
2019-07-14,11382.03,11467.3,10090.0,10191.87,12170.40823763,129392649.07219,10631.742711154
2019-07-13,11811.08,11846.61,10810.0,11378.79,9391.35341435,105947622.15865,11281.400825228
2019-07-12,11352.74,11942.39,11083.52,11808.91,9176.67942993,105982547.44891,11549.1173314
2019-07-11,12101.44,12104.97,10966.81,11349.24,18468.68600043,212707393.6462,11517.19151223
2019-07-10,12574.88,13200.0,11550.0,12098.95,19838.38994897,248386820.65223,12520.513070423
2019-07-09,12299.94,12883.48,12030.43,12567.23,15115.5523839,188848935.90091,12493.684061593
2019-07-08,11478.43,12398.0,11332.19,12286.14,11901.90089462,142163191.21873,11944.578641466
2019-07-07,11233.21,11627.0,11083.76,11469.96,6683.05546715,75851416.718673,11349.811039503
2019-07-06,10996.82,11735.0,10982.89,11240.0,7892.17866812,90077908.728894,11413.566838364
2019-07-05,11144.82,11440.0,10769.15,10997.84,11893.4379497,132207381.38165,11115.993705166
2019-07-04,11970.0,12061.04,11052.74,11146.34,11185.29420376,130996748.89728,11711.515719743
2019-07-03,10830.1,12009.0,10830.1,11967.43,19389.85475767,220385744.07776,11366.033775502
2019-07-02,10581.78,10942.63,9614.08,10828.9,20285.24655295,206617402.08237,10185.599743293
2019-07-01,10759.24,11200.41,9950.0,10577.43,22917.43710404,243205448.54375,10612.244617042
2019-06-30,11867.35,12200.06,10651.3,10760.1,12642.61772277,142891926.13428,11302.400283521
2019-06-29,12354.45,12386.76,11317.03,11858.62,12265.99736052,144889140.81325,11812.259252525
2019-06-28,11153.73,12447.46,10739.1,12354.43,18718.10158772,218180576.57894,11656.127388585
2019-06-27,12927.44,13355.61,10300.0,11153.74,36106.96055323,417050294.02977,11550.412652844
2019-06-26,11760.0,13880.0,11647.07,12920.54,37487.80242579,476983027.9354,12723.686027732
2019-06-25,11030.0,11796.37,11000.02,11751.01,12133.57175867,137485305.05101,11330.983801432
2019-06-24,10827.23,11099.0,10551.51,11029.63,8247.39381098,89425712.758197,10842.905626641
2019-06-23,10665.66,11247.62,10483.33,10831.95,7270.6458116,78614343.382654,10812.566781513
2019-06-22,10222.13,11200.0,10085.5,10661.3,13709.30032222,146874837.08249,10713.518095773
2019-06-21,9534.99,10229.49,9534.97,10222.12,12553.09963424,123290085.48576,9821.4854560282
2019-06-20,9280.17,9600.0,9211.08,9534.99,7870.31583938,73844684.380004,9382.6837304946
2019-06-19,9076.51,9325.85,9036.19,9278.27,4687.25984305,42898235.430839,9152.0924521489
2019-06-18,9333.48,9361.87,8918.0,9078.84,11327.45394298,103380451.49636,9126.5391160941
2019-06-17,8973.02,9477.7,8973.02,9333.48,12760.96069746,118055249.83383,9251.28230019
2019-06-16,8857.19,9391.85,8805.0,8974.19,15018.85335613,136949106.52573,9118.4795056163
2019-06-15,8694.74,8911.98,8623.52,8857.19,5275.7530691,46136638.046372,8745.0336363531
2019-06-14,8235.44,8737.37,8174.92,8697.54,8678.2503063,72939450.898252,8404.8567768668
2019-06-13,8171.12,8335.56,8049.22,8238.0,7237.80039095,59224703.035384,8182.6936135788
2019-06-12,7915.7,8266.0,7821.73,8176.27,8577.16249687,69114902.531186,8058.0148220822
